"Material","Sample","Site","Li","Be","Na2O (%)","MgO (%)","Al2O3 (%)","SiO2 (%)","P2O5 (%)","S","K2O (%)","CaO (%)","Sc","TiO2 (%)","V","Cr","MnO (%)","Fe2O3 (%)","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Pb","Th","U","U/Th","Lu/Hf","Zr/Hf","Nb/Ta"
"Bloom","MA-200988-1B","Eisenberg",28.8,12.9,0.15,0.77,7.16,24.7,0.98,204.3,2.56,3.67,8,0.21,33.6,13.6,7.08,52.01,1.1,0.2,3,15.9,7.6,0.3,108.6,256.3,43.3,71.2,6.9,1.3,1.1,0,8.8,4078.3,20.5,46.6,5.3,22.2,6,1.7,8.5,1.3,7.8,1.6,4.3,0.6,3.6,0.5,1.8,0.4,1,0.4,5.1,11.6,2.27,0.28,39.56,17.25
"Bloom","MA-200988-2B","Eisenberg",24.6,10.4,0.09,1,7.14,22.92,0.85,280.8,1.98,3.16,8.6,0.25,58.5,27.8,7.36,54.83,7.2,1.8,5.1,16,8,0.5,86.8,200,43.4,67.8,5.6,2.1,0.8,0.1,7.3,3204.3,19,40.6,4.9,21,5.7,1.6,8.3,1.4,7.9,1.6,4.6,0.6,4,0.6,1.9,0.4,0.8,2.3,5.3,10.1,1.91,0.32,35.68,14
"Iron-SI","MA-201419","Eisenberg",34.97,5.87,0.17,2.05,11.29,68.74,0.2,1723.64,3.49,8.71,21.72,0.52,7.92,8.27,3.31,51.2,1.26,10.99,5.25,14.73,1.07,1.29,110.87,694.19,103.45,170.78,4.66,0.32,0.11,0.06,7.59,1888.54,60.48,105.44,13.25,53.56,11.62,3.07,14.46,2.07,12.95,2.75,8.04,1.16,7.31,1.18,4.61,0.81,4.61,0.19,9.36,9.36,1,0.26,37.05,5.75
"Iron-SI-P","MA-201421","Eisenberg",31.02,1.37,0.58,1.35,5.78,57.2,0.23,1167.04,3.25,5.97,14.06,0.31,21.97,20.96,0.52,24.56,36.81,56.32,17.43,5.79,3.46,28.18,74.32,179.79,14.27,182.36,7.72,0.71,2.36,0.88,3.81,456.44,18.49,35.14,4.17,18,4.01,0.72,2.78,0.42,2.54,0.54,1.93,0.26,1.89,0.24,4.49,0.54,4.49,0.21,5.38,2.05,0.38,0.05,40.61,14.3
"Iron-SI","MA-201422","Eisenberg",27.76,6.95,0.25,0.53,5.56,31.11,2.7,991.47,2.01,2.55,10.01,0.33,182.18,193.82,0.45,54.26,7.84,48.69,10.64,5.8,14.58,6.67,63.21,107.15,37.55,201.74,10.49,1.12,1.36,0.7,4.58,473.97,25.56,52.84,6.67,28.9,6.56,1.22,5.65,0.88,5.83,1.1,3.45,0.41,2.89,0.37,5.02,0.62,5.02,0.81,6.16,8.7,1.41,0.07,40.19,16.92
"Iron-SI","MA-201423","Eisenberg",21.39,3.8,0.99,0.24,4.38,26.7,2.69,1476.24,0.95,2.54,8.37,0.22,58.09,39.1,0.35,61.57,23.77,29.15,6.85,3.17,10.44,36.32,29.45,58.21,65.7,135.98,6.38,1.04,3.43,0.39,3.71,260.81,39.14,84.82,8.85,36.33,8.14,1.66,9.22,1.38,8.81,1.79,5.29,0.7,4.29,0.63,3.51,0.48,3.51,0.16,5.14,1.33,0.26,0.18,38.74,13.29
"Iron-SI-P","MA-201425","Eisenberg",25.66,3.02,0.26,0.86,4.65,26.8,7.07,1140.44,1.07,4.84,8.09,0.21,121.72,367.99,0.58,53.41,2.46,21.74,12.93,58.86,18.7,5.54,25.57,152.64,25.75,99.24,4.55,0.56,0.39,0.39,1.8,309.43,17.79,34.26,4.47,17.56,3.81,0.92,3.82,0.5,3.62,0.69,2.28,0.3,2.23,0.3,2.62,0.32,2.62,3.16,3.74,4.58,1.22,0.11,37.88,14.22
"Iron-SI-P","MA-201426","Eisenberg",13.96,4.7,0.12,0.3,3.02,25.03,3.57,1218.08,1.29,4.09,7.36,0.19,39.43,30.84,0.87,61.24,79.82,98.26,10.52,14.62,10.73,6.19,33.44,105.7,45.35,126.64,4.99,0.57,0.75,0.09,2.04,583.69,27.36,59.29,5.72,24.23,5.19,1.19,6.1,0.92,5.85,1.23,3.66,0.47,3.29,0.49,3.35,0.38,3.35,0.59,3.57,1.13,0.32,0.15,37.8,13.13
"Iron-SI-P","MA-201427","Eisenberg",19.27,4.22,0.23,0.47,3.74,28.67,3.11,1556.11,1.02,1.95,10.09,0.24,135.91,166.69,0.45,59.84,8.19,14.97,7.79,21.83,17.83,2.98,24.38,79.3,31.01,159.53,6.81,2.13,0.42,0.4,0.95,298.44,20.73,41.4,5.29,21.64,4.92,1.13,5.44,0.81,4.9,0.92,2.76,0.37,2.61,0.38,4.22,0.44,4.22,2.41,5.33,5.39,1.01,0.09,37.8,15.48
"Ore","MA-201429","Imbasch",2.64,380,0.05,0.21,2.65,8.1,2.31,2330,0.82,0.37,28.9,0.03,86,12.6,5,79.9,65,80,273,350,5.5,310,27.7,88,196,16.3,2.56,4.4,1.53,26.6,7.2,770,26.9,24.2,10.17,51,20.4,3.1,23.1,4.5,26.5,5.5,16,2.33,15.4,2.33,0.39,0.09,30,91,3.8,69,18.16,5.97,41.79,27.83
"Ore","MA-201430","Hettenleidelheim",30,11.3,0.1,0.91,8.15,21.1,0.22,2650,2.62,0.51,8,0.24,61,38,3.1,62.59,22,44,26,116,8.9,45,104,84,18.7,37,4.1,1.98,1.9,3.8,12.5,1100,14,27.8,4.26,15.5,4,1.07,3.7,0.69,3.8,0.77,1.95,0.28,1.69,0.24,1.06,0.34,1,11.2,4.1,4.1,1,0.23,34.91,12.06
"Ore","MA-201431","Hettenleidelheim",9.6,11.2,0.04,0.38,3.11,8.4,0.31,2320,0.85,0.24,3.2,0.08,32,18.3,1.08,85.13,32,56,21.5,107,3.4,6.9,38,36,13.3,17.9,1.46,0.64,1.44,1.34,4.9,430,6.1,13.4,2.04,8.2,2.55,0.61,2.43,0.42,2.74,0.49,1.36,0.19,1.25,0.18,0.42,0.16,0.51,3.8,1.51,2.56,1.7,0.44,42.62,9.07
"Ore","MA-201432","Hettenleidelheim",19,10.8,0.06,0.63,5.52,13.4,0.3,2260,1.49,0.28,6.3,0.12,50,29.5,1.11,76.75,13.9,32,15.2,79,5.6,12.8,58,34,12.9,86,2.7,0.93,1.38,1.7,5.6,360,7.9,27.6,2.34,9.2,2.74,0.65,2.35,0.45,2.68,0.48,1.4,0.19,1.32,0.2,2.84,0.21,0.82,6,3.2,1.82,0.57,0.07,30.28,12.92
"Ore","MA-201433","Tiefenthal",5,7.2,0.03,0.99,1.71,30,0.54,3700,0.26,0.21,7.6,0.09,152,74,0.02,66.13,17.2,110,16.4,63,2.4,128,15.5,0.01,29.1,19.8,2.53,16,0.78,3.8,1.78,2200,7.9,49,2.32,8.7,2.54,0.68,3.2,0.67,3.8,0.86,2.48,0.38,2.15,0.37,0.46,0.22,0.74,28.4,2.67,2.99,1.12,0.8,43.04,11.5
"Ore","MA-201434","Tiefenthal",28,14.1,0.08,0.81,6.28,17.4,0.24,3400,1.85,0.65,7.8,0.18,56,34,8.3,63.49,34,151,161,117,7.3,11.6,84,145,36,37,3.8,2.32,1.7,1.47,7.1,2250,25.8,51,7.7,31,7.7,1.94,8.3,1.27,7,1.34,3.6,0.48,2.92,0.44,1.01,0.3,0.97,5.7,5.4,2.76,0.51,0.44,36.63,12.67
"Ore","MA-201535","Eisenberg",18.34,10.81,0.15,0.7,4.6,12.74,1.6,3213.52,1.32,1.98,6.07,0.1,128.5,23.53,4.19,72.02,20.02,46.04,21.88,138.09,5.59,46.3,54.65,179.57,36.24,16.94,2.34,20.2,1.3,1.87,5.16,1787.17,21.66,21.27,6.37,24.86,6.5,1.54,6.35,1,5.65,1.11,2.99,0.39,2.48,0.39,0.46,0.18,0.46,43.05,2.06,3.95,1.92,0.85,37.1,13.11
"Ore","MA-201912","Hettenleidelheim",6.63,14.87,0.04,0.14,4.9,26.58,0.2,3605.12,0.7,0.3,6.53,0.14,85.89,99.35,0.04,66.29,8.57,55.29,53.2,79.2,4.45,2245.39,34.88,20.7,10.76,37.61,3.51,8.9,1.31,5.84,2.86,171.84,7.78,11.06,2.63,10.19,2.73,0.69,2.3,0.44,2.5,0.48,1.43,0.19,1.56,0.24,1.63,0.32,1.63,109.92,4.08,4.44,1.09,0.15,23.13,10.83
"Ore","MA-201914","Stumpfwald",25.02,30.13,0.11,0.54,7.68,46.72,0.5,3869.76,2.19,0.34,10.03,0.27,63.1,47.94,0.95,40.12,45.89,83.82,51.33,56.76,8.2,9.17,84.05,34.48,13.94,61.61,5.69,0.75,6.69,7.27,11.18,1111.08,5.07,20.59,2.2,9.17,3.83,1.2,4.79,0.73,3.63,0.62,1.53,0.22,1.3,0.21,1.99,0.46,1.99,27.34,2.64,2.04,0.77,0.1,30.98,12.4
